datetime,average
2015-03-04 03:17:53,279.35
2015-03-04 03:19:21,279.67
2015-03-04 03:20:22,279.5
2015-03-04 03:21:52,280.04
2015-03-04 03:23:21,279.59
2015-03-04 03:24:51,279.69
2015-03-04 03:26:23,280.1
2015-03-04 03:27:52,280.0
2015-03-04 03:29:21,279.82
2015-03-04 03:30:22,279.76
2015-03-04 03:31:51,279.59
2015-03-04 03:33:21,279.47
2015-03-04 03:34:23,278.99
2015-03-04 03:35:52,278.95
2015-03-04 03:36:53,279.16
2015-03-04 03:38:23,279.03
2015-03-04 03:39:53,278.79
2015-03-04 03:40:54,279.04
2015-03-04 03:42:22,279.15
2015-03-04 03:43:24,279.13
2015-03-04 03:44:54,279.14
2015-03-04 03:46:23,278.93
2015-03-04 03:47:54,279.01
2015-03-04 03:49:22,278.77
2015-03-04 03:50:24,278.8
2015-03-04 03:51:53,278.93
2015-03-04 03:52:54,279.06
2015-03-04 03:54:23,279.23
2015-03-04 03:55:52,279.09
2015-03-04 03:57:23,278.91
2015-03-04 03:58:53,278.86
2015-03-04 03:59:54,278.83
2015-03-04 04:01:24,278.96
2015-03-04 04:02:52,278.94
2015-03-04 04:03:53,279.11
2015-03-04 04:05:23,278.96
2015-03-04 04:06:53,278.61
2015-03-04 04:08:22,278.67
2015-03-04 04:09:52,278.58
2015-03-04 04:10:53,278.68
2015-03-04 04:12:23,278.65
2015-03-04 04:13:53,278.72
2015-03-04 04:14:54,278.54
2015-03-04 04:16:24,278.67
2015-03-04 04:17:55,278.68
2015-03-04 04:19:25,278.91
2015-03-04 04:20:54,278.89
2015-03-04 04:22:23,278.93
2015-03-04 04:23:53,279.01
2015-03-04 04:24:54,279.11
2015-03-04 04:25:55,279.14
2015-03-04 04:26:56,279.08
2015-03-04 04:28:24,278.94
2015-03-04 04:29:25,279.07
2015-03-04 04:30:56,279.16
2015-03-04 04:32:24,279.37
2015-03-04 04:33:25,279.56
2015-03-04 04:34:54,280.31
2015-03-04 04:36:26,280.27
2015-03-04 04:37:55,280.35
2015-03-04 04:39:25,280.25
2015-03-04 04:40:54,280.32
2015-03-04 04:41:55,280.25
2015-03-04 04:42:56,280.48
2015-03-04 04:44:26,280.41
2015-03-04 04:45:55,280.67
